num,Date,Open
1127,2018-02-01,16
1128,2018-02-02,5
1129,2018-02-03,9
1130,2018-02-04,13
1131,2018-02-05,5
1132,2018-02-06,10
1133,2018-02-07,12
1134,2018-02-08,9
1135,2018-02-09,13
1136,2018-02-10,12
1137,2018-02-11,6
1138,2018-02-12,9
1139,2018-02-13,17
1140,2018-02-14,7
1141,2018-02-15,11
1142,2018-02-16,8
1143,2018-02-17,4
1144,2018-02-18,5
1145,2018-02-19,9
1146,2018-02-20,7
1147,2018-02-21,9
1148,2018-02-22,8
1149,2018-02-23,12
1150,2018-02-24,13
1151,2018-02-25,12
1152,2018-02-26,7
1153,2018-02-27,14
1154,2018-02-28,5
1155,2018-03-01,4
1156,2018-03-02,5
1157,2018-03-03,12
1158,2018-03-04,8
1159,2018-03-05,3
1160,2018-03-06,7
1161,2018-03-07,13
1162,2018-03-08,4
1163,2018-03-09,10
1164,2018-03-10,9
1165,2018-03-11,9
1166,2018-03-12,12
1167,2018-03-13,12
1168,2018-03-14,8
1169,2018-03-15,13
1170,2018-03-16,4
1171,2018-03-17,13
1172,2018-03-18,13
1173,2018-03-19,9
1174,2018-03-20,12
1175,2018-03-21,6
1176,2018-03-22,15
1177,2018-03-23,10
1178,2018-03-24,8
1179,2018-03-25,11
1180,2018-03-26,10
1181,2018-03-27,10
1182,2018-03-28,10
1183,2018-03-29,11
1184,2018-03-30,12
1185,2018-03-31,12
1186,2018-04-01,8
1187,2018-04-02,12
1188,2018-04-03,5
1189,2018-04-04,13
1190,2018-04-05,10
1191,2018-04-06,10
1192,2018-04-07,7
1193,2018-04-08,6
1194,2018-04-09,13
1195,2018-04-10,10
1196,2018-04-11,8
1197,2018-04-12,11
1198,2018-04-13,6
1199,2018-04-14,14
1200,2018-04-15,5
1201,2018-04-16,7
1202,2018-04-17,9
1203,2018-04-18,7
1204,2018-04-19,6
1205,2018-04-20,11
1206,2018-04-21,14
1207,2018-04-22,15
1208,2018-04-23,5
1209,2018-04-24,10
1210,2018-04-25,11
1211,2018-04-26,7
1212,2018-04-27,9
1213,2018-04-28,20
1214,2018-04-29,11
1215,2018-04-30,12
1216,2018-05-01,8
1217,2018-05-02,9
1218,2018-05-03,9
1219,2018-05-04,12
1220,2018-05-05,12
1221,2018-05-06,6
1222,2018-05-07,7
1223,2018-05-08,8
1224,2018-05-09,10
1225,2018-05-10,11
1226,2018-05-11,11
1227,2018-05-12,14
1228,2018-05-13,5
1229,2018-05-14,9
1230,2018-05-15,10
1231,2018-05-16,4
1232,2018-05-17,11
1233,2018-05-18,11
1234,2018-05-19,13
1235,2018-05-20,7
1236,2018-05-21,11
1237,2018-05-22,12
1238,2018-05-23,10
1239,2018-05-24,8
1240,2018-05-25,10
1241,2018-05-26,5
1242,2018-05-27,9
1243,2018-05-28,7
1244,2018-05-29,13
1245,2018-05-30,12
1246,2018-05-31,6
1247,2018-06-01,16
1248,2018-06-02,7
1249,2018-06-03,5
1250,2018-06-04,11
1251,2018-06-05,6
1252,2018-06-06,5
1253,2018-06-07,8
1254,2018-06-08,10
1255,2018-06-09,8
1256,2018-06-10,8
1257,2018-06-11,7
1258,2018-06-12,8
1259,2018-06-13,8
1260,2018-06-14,8
1261,2018-06-15,6
1262,2018-06-16,6
1263,2018-06-17,12
1264,2018-06-18,3
1265,2018-06-19,7
1266,2018-06-20,10
1267,2018-06-21,6
1268,2018-06-22,12
1269,2018-06-23,9
1270,2018-06-24,2
